Perfume reference,Gender,Size,Top Notes,Heart Notes,Base Notes,Olfactory Family,Inspiration
1,M,70ml,"Solar notes, Grapefruit blossom","Salt, Ambroxan, Leather accord","Pine, Cashmeran, Amber","Woody, Leather, Amber",One Million – Paco Rabanne
2,M,70ml,"Marine notes, Green mandarin","Clary sage, Geranium, Lavender","Mineral notes, Patchouli, Vetiver","Aromatic, Marine, Woody",Acqua di Giò – Armani
3,M,70ml,Sicilian mandarin,"Violet leaf, Leather accord","Bourbon vanilla, Rum, Benzoin, Agarwood nuances","Oriental, Leather, Woody",Fahrenheit – Dior
4,M,70ml,"Grapefruit, Coriander, Basil","Cardamom, Ginger, Orange blossom","Tobacco, Amber, Cedarwood","Woody, Spicy, Oriental",The One – Dolce & Gabbana
6,F,70ml,"Mandarin, Bergamot, Lily-of-the-valley","Carnation, Jasmine, Myrrh","Opoponax, Amber, Patchouli, Vanilla, Sandalwood","Oriental, Spicy, Amber",Opium – Yves Saint Laurent
7,F,70ml,"Pear, Melon, Magnolia, Peach, Mandarin Orange, Bergamot","Jasmine, Lily-of-the-valley, Tuberose, Freesia, Rose, Orchid, Violet, Plum","Vanilla, Cedarwood, Blackberry, Musk","Floral, Fruity, Elegant",J’Adore – Dior
10,F,70ml,Jasmine Sambac,Cashmeran Wood,White Amber,"Amber, Woody, Floral",Alien – Thierry Mugler
11,F,70ml,"Sicilian Lemon, Apple, Cedar, Bellflower","Freesia, Jasmine, Bamboo","Cedarwood, Amber, Musk","Fresh, Citrus, Woody",Light Blue (Women) – Dolce & Gabbana
12,M,70ml,Bergamot,"Lavender, Hedione, Elemi","Haitian vetiver, Oakmoss","Aromatic, Fougere, Citrus",Eau Sauvage – Dior
14,F,70ml,"Green Notes, Bergamot, Blackcurrant","Jasmine Sambac, Lily-of-the-valley","Cedarwood, Sandalwood, Vanilla, Tonka Bean","Oriental, Floral",Manifesto – YSL
15,M,70ml,"Grapefruit, Basil, Bergamot, Juniper","Heliotrope, Pine, Jasmine","Benzoin, Patchouli, Sandalwood, Vanilla","Oriental, Woody, Fresh",Roma – Laura Biagiotti
16,M,70ml,Cardamom,"Lavender, Iris","Vanilla, Oriental woods","Oriental, Woody, Aromatic",Le Mâle – Jean Paul Gaultier
18,M,70ml,"Orange, Bergamot","Spices, Cardamom, Cumin, Cedar","Leather, Amber, Vetiver","Woody, Spicy, Oriental",Déclaration – Cartier
19,F,70ml,"Raspberry, Neroli, Amalfi Lemon","Jasmine, African Orange Flower, Gardenia","Honey, Patchouli, Amber","Floral, Fruity, Sweet",Lady Million – Paco Rabanne
20,M,70ml,"Grapefruit, Cardamom","Lavender, Geranium","Vetiver, Patchouli, Cedar","Woody, Spicy, Aromatic",La Nuit de L’Homme – YSL
21,M,70ml,"Frozen grapefruit, Mandarin","Juniper, Marine accord","Amberwood, Musk","Fresh, Aquatic, Woody",Light Blue Pour Homme – Dolce & Gabbana
22,M,70ml,Orange,"Flint, Pepper, Spices","Benzoin, Vetiver, Cedar","Woody, Spicy, Citrus",Terre d’Hermès – Hermès
23,F,70ml,"Star anise, Coconut, Plum","Tuberose, Jasmine, Lily-of-the-valley, Rose","Almond, Sandalwood, Vanilla, Musk","Oriental, Vanilla, Gourmand",Hypnotic Poison – Dior
24,F,70ml,"Aldehydes, Bergamot, Neroli","Jasmine, Rose, Ylang-ylang, Iris","Sandalwood, Vetiver, Vanilla, Amber","Floral, Aldehydic, Woody",No. 5 – Chanel
25,F,70ml,"Osmanthus, African orange flower, Bergamot","Musk, Amber","Vetiver, Patchouli, Vanilla","Musky, Floral, Amber",For Her – Narciso Rodriguez
26,F,70ml,"Hawthorn, Blackcurrant, Bulgarian rose","Parma violet, Opopanax, Jasmine","Vanilla, White musk, Incense","Floral, Powdery, Sweet",Flower – Kenzo
27,F,70ml,"Peach, Apricot blossom, Rose","Iris, Heliotrope, Jasmine","Sandalwood, Vanilla, Musk, Amber","Oriental, Floral",Trésor – Lancôme
28,F,70ml,"Bergamot, Cotton candy","Red berries, Honey, Plum, Orchid, Jasmine","Patchouli, Chocolate, Caramel, Vanilla, Tonka bean, Amber","Gourmand, Oriental",Angel – Mugler
29,F,70ml,"Lotus, Freesia, Cyclamen, Melon","Peony, Lily, Carnation, Lily-of-the-valley","Sandalwood, Musk, Cedar, Amber","Floral, Aquatic",L’Eau d’Issey – Issey Miyake
30,M,70ml,"Lemon, Sage, Tagetes","Cinnamon, Cardamom, Black amber","Ebony wood, Patchouli, Rosewood","Oriental, Woody, Spicy",Black XS – Paco Rabanne
32,M,70ml,"Grapefruit, Cinnamon","Saffron, Cumin, Tobacco","Vanilla, Amber, Woods","Oriental, Spicy, Amber",Spicebomb – Viktor & Rolf
33,M,70ml,"Bergamot, Bergamot leaf, Aldehydes","Iris, Clary sage","Tonka bean, Cedarwood","Aromatic, Fougere, Woody",Armani Code – Armani
37,M,70ml,"Rum, Spices","Leather, Iris, Tuberose","Tonka bean, Guaiac wood, Benzoin","Oriental, Spicy, Leather",Man – Bvlgari
38,M,70ml,"Lemon zest, Bergamot, Mint","Lavender, Geranium, Green notes, Pineapple","Sandalwood, Cedar, Amberwood, Iso E Super, Tonka bean","Woody, Aromatic, Fresh",Bleu de Chanel – Chanel
39,F,70ml,"Pineapple, Strawberry, Mandarin","Popcorn accord, Caramel, Rose, Jasmine, Violet","Patchouli, Amber, Musk","Gourmand, Chypre, Fruity",Miss Dior Chérie – Dior
40,F,70ml,Passion flower,"Jasmine, Gardenia","Vanilla, Vetiver","Oriental, Vanilla, Floral",Hypnôse – Lancôme
42,F,70ml,"Blackcurrant, Pear","Iris, Jasmine, Orange blossom","Praline, Vanilla, Patchouli, Tonka bean","Gourmand, Floral, Oriental",La Vie Est Belle – Lancôme
44,U,70ml,"Bergamot, Mandarin, Neroli","Green tea, Blackcurrant","Sandalwood, Musk","Fresh, Citrus, Aromatic",Silver Mountain Water – Creed
44,U,70ml,"Bergamot, Mandarin, Neroli","Green tea, Blackcurrant","Sandalwood, Musk","Fresh, Citrus, Aromatic",Silver Mountain Water – Creed
47,F,70ml,"Pepper, Cardamom, Ginger","Coconut, Gardenia, Orange blossom, Peony","Sandalwood, Musk, Amber","Oriental, Floral",Crystal Noir – Versace
48,M,70ml,"Lemon, Ginger, Mandarin","Peach, Vetiver, Cedar","Tonka bean, Amber, Sandalwood","Woody, Oriental, Fresh",Allure Homme – Chanel
49,F,70ml,"Neroli, Papaya blossom","Amaryllis, Water lily, Narcissus","Musk, Cashmeran","Floral, Soft, Fresh",Dolce – Dolce & Gabbana
51,F,70ml,"Bergamot, Orange, Mandarin","Rose, Jasmine","Patchouli, Vetiver, Vanilla, White Musk","Chypre, Floral",Coco Mademoiselle – Chanel
52,M,70ml,"Citrus notes, Ambergris","Labdanum, Balsamic notes","Sandalwood, Cedar, Patchouli, Amber","Oriental, Woody, Aromatic",Pasha – Cartier
53,F,70ml,"White Rose, Gardenia",Musk,"Cedarwood, Vetiver, Oakmoss","Floral, Woody, Musky",Narciso – Narciso Rodriguez
54,U,70ml,"Truffle, Blackcurrant, Ylang-ylang, Bergamot","Black Orchid, Floral Notes, Fruity Notes, Lotus Wood","Patchouli, Vanilla, Incense, Sandalwood, Vetiver, Chocolate, Amber","Amber, Floral",Black Orchid – Tom Ford
55,F,70ml,"Pear, Pink Pepper, Orange Blossom","Coffee, Jasmine, Bitter Almond","Vanilla, Patchouli, Cedar, Cashmere Wood","Oriental, Gourmand",Black Opium – YSL
56,F,70ml,"Mandarin, Saffron, Thyme","Lily, Orchid, Ylang‑Ylang","Vanilla, Tonka Bean, Rosewood","Oriental, Floral",Ange ou Démon – Givenchy
57,F,70ml,"Pink Grapefruit, Green Notes","Iris, Bulgarian Rose","Heliotrope, Solar Woods","Floral, Powdery",Omnia Améthyste – Bvlgari
61,M,70ml,"Black pepper, Orange blossom, Grapefruit","Laurel, Whisky accord, Cardamom","Ambergris, Amberwood, Patchouli, Salted vanilla","Amber, Fresh, Woody",Invictus – Paco Rabanne
62,M,70ml,"Aquatic notes, Basil, Lavender, Marigold, Geranium","Moepel wood, Tobacco, Hay, Bran, Clary sage","Labdanum, Sandalwood, Cypress, Musk","Woody, Aromatic",Intenso – Dolce & Gabbana
64,F,70ml,"Mandarin, Orange, Saffron","Osmanthus, Indian Tuberose","Amber, Woods, Resinous Notes","Floral, Oriental, Amber",Omnia Indian Garnet – Bvlgari
67,F,70ml,"Green Mandarin, Ginger Lily, Water Jasmine",Salted Vanilla,"Ambergris, Cashmere Wood, Sandalwood","Oriental, Vanilla, Fresh",Olympéa – Paco Rabanne
68,M,70ml,"Bergamot, Blackcurrant, Apple, Pineapple","Birch, Patchouli, Jasmine, Rose","Musk, Oakmoss, Ambergris, Vanilla","Chypre, Fruity",Aventus – Creed
69,M,70ml,"Aqua accord, Marine breeze","Myrtle, Seaweed","Cedarwood, Salt crystals, Dry woods","Aromatic, Marine, Woody",Acqua di Sale – Profumum Roma
70,F,70ml,"Peach, Lychee, Mandarin, Bergamot","Lily-of-the-Valley, Jasmine, Plum, Lily","Vanilla, Amber, Musk, Vetiver","Oriental, Floral",The One (Women) – Dolce & Gabbana
71,F,70ml,"Bergamot, Mandarin, Peach, Lemon","Magnolia, Water Lily, Jasmine, Freesia, May Rose, Orange Blossom, Honeysuckle","Vanilla, Sandalwood, Patchouli, Vetiver","Floral, Oriental, Warm",Allure (Women) – Chanel
72,U,70ml,"Patchouli, Cedarwood","Patchouli heart, Sandalwood","Vanilla, Tonka bean, White musk","Oriental, Woody, Patchouli",Patchouli – Reminiscence
73,U,70ml,"Grapefruit, Bergamot, Lemon","Gunpowder accord, Juniper berries, Lavender, Pepper","Sandalwood, Cedarwood, Vetiver, Ambergris","Woody, Aromatic, Fresh",Himalaya – Creed
74,M,50ml,"Cannabis, Green Notes","Resins, Woody Notes, Coffee, Tobacco","Oud, Incense","Woody, Oriental",Black Afgano – Nasomatto
75,M,50ml,"Rhubarb, Pineapple, Bergamot","Iris, Paprika, Jasmine","Virginia Cedar, Cinnamon, Oakmoss, Amber, Vetiver, Styrax, Labdanum, Vanilla","Oriental, Fougere",X for Men – Clive Christian
76,F,70ml,"Amalfi Lemon, Mint","Water Jasmine, Jasmine, Peony","Cedarwood, Brown Sugar, Labdanum","Floral, Aquatic, Fresh",Acqua di Gioia – Armani
79,M,70ml,"Bergamot, Calabrian bergamot","Tunisian orange blossom, Neroli","Ambrofix, Patchouli, Woods","Woody, Floral, Fresh",MYSLF – YSL
80,F,70ml,Blackcurrant (Cassis),"Rose de Mai, Freesia","Patchouli, Vanilla, Ambroxan, Woody Notes","Chypre, Fruity, Floral",Sì – Giorgio Armani
81,F,70ml,"Ginger, Aldehydes, Tangerine","Orange Blossom, Jasmine Sambac","Whipped Cream, Vanilla, Cashmere Wood","Oriental, Vanilla, Floral",Classique Essence de Parfum – Jean Paul Gaultier
82,F,70ml,"Red Currant, Pink Pepper","Peony, Rose, Jasmine","Pannacotta Accord, Musk, Patchouli","Floral, Fruity, Gourmand",Signorina – Salvatore Ferragamo
84,M,70ml,"Calabrian Bergamot, Grapefruit, Fig Leaf, Aquatic Notes","Violet Leaf, Papyrus, Patchouli, Black Pepper, Ambroxan","Musk, Incense, Tonka Bean, Saffron","Aromatic, Fougere, Woody",Dylan Blue (Men) – Versace
85,F,70ml,"Grapefruit, Quince","Jasmine, Hyacinth","Musk, Vanilla, Patchouli, Vetiver","Chypre, Floral",Chance – Chanel
86,M,70ml,"Bergamot, Violet leaves, Lavender","Woody notes, Jasmine, Geranium","Oakmoss, Leather, Vetiver, Coumarin","Aromatic, Woody, Fougere",Legend – Montblanc
87,M,70ml,"Lemon, Ginger, Juniper","Cardamom, Lavender","Vetiver, Tonka bean, Bourbon vanilla","Spicy, Woody, Fresh",Wanted – Azzaro
88,M,70ml,"Rum, Tobacco, Spices","Leather, Iris, Tuberose","Benzoin, Tonka bean, Guaiac wood","Oriental, Spicy, Leather",Man in Black – Bvlgari
89,U,70ml,"Strawberry, Raspberry, Pear, Orange, Tangerine, Calabrian Bergamot","Datura, Peony, Orange Blossom, Jasmine Sambac, Chinese Jasmine","Patchouli, White Musk, Ambroxan, Cedarwood, Moss","Chypre, Fruity, Floral",Mon Paris – Yves Saint Laurent
90,F,70ml,"Bitter Orange, Lemon","Damask Rose, Grasse Rose, Orange Blossom","Tonka Bean, Almond, Vanilla, Sandalwood, Cashmeran, Tolu Balsam","Oriental, Vanilla, Gourmand",Poison Girl – Dior
91,M,70ml,"Bergamot, Lemon, Grapefruit, Violet leaf","Pineapple, Lavender, Oakmoss","Mate, Brazilian rosewood, Tonka bean","Citrus, Aromatic, Fresh",Chrome – Azzaro
93,F,70ml,"Green Apple, Pink Berries, Indonesian Patchouli, Italian Bergamot","Bulgarian Rose, Turkish Rose, Indian Sandalwood, Styrax, Musk","Sweet Peach, Cassis, Lilac, Amber, Ylang-Ylang","Chypre, Fruity, Floral",Aventus for Her – Creed
94,M,70ml,"Bergamot, Sichuan Pepper","Lavender, Star Anise, Nutmeg","Vanilla, Ambroxan","Aromatic, Spicy, Fresh",Sauvage – Dior
96,F,70ml,"Grapefruit, Mandarin, Blackcurrant","Tuberose, Ylang-Ylang, Jasmine, Orange Blossom","Sandalwood, Musk","Floral, White Floral",Gabrielle – Chanel
97,F,70ml,"Campari Accord, Blackcurrant, Rosemary","Jasmine Sambac, Rhubarb, Mate Absolute","Tahitian Vanilla, Ambroxan, Sandalwood","Oriental, Floral, Gourmand",Amo – Salvatore Ferragamo
98,F,70ml,"Bergamot, Mandarin","Grasse Rose, Jasmine","Sandalwood, Cedar, Patchouli, White Musk","Floral, Woody, Musky",Joy – Dior
99,U,50ml,"Lemon, Grapefruit, Mint, Basil","Blackcurrant, Orange Blossom, Jasmine","Musk, Vetiver, Amber","Citrus, Aromatic",Mandarino di Amalfi – Tom Ford
100,U,70ml,Floral notes,"Rose, Coffee","Vanilla, Amber, White Musk","Oriental, Gourmand, Floral",Intense Café – Montale
101,U,50ml,"Amber, Labdanum","Patchouli, Vanilla, Benzoin","Woody notes, Musk, Resinous notes","Amber, Oriental, Woody",Velvet Amber Skin – Dolce & Gabbana
102,U,50ml,"Ylang-ylang, Amber","Vanilla, Osmanthus","Woody notes, Benzoin, Labdanum","Amber, Woody, Floral",Velvet Amber Sun – Dolce & Gabbana
105,U,70ml,Floral notes,"Rose, Coffee","Amber, Vanilla, White musk","Gourmand, Oriental",Intense Café – Montale
106,U,50ml,"Clary Sage, Lavender","Bitter Almond, Leather, Vanilla","Tonka Bean, Cashmeran, Amber, Woody Notes","Leather, Amber",Fucking Fabulous – Tom Ford
109,F,50ml,"Citrus notes, Fruity notes","Jasmine, Rose, Floral notes","Amber, Vanilla, Woods, Musk","Floral, Amber",J’Adore L’Or – Dior
110,U,70ml,"Passion fruit, Peach, Raspberry, Cassis, Pear, Warm sand accord",Lily-of-the-valley,"Musk, Vanilla, Sandalwood, Patchouli, Heliotrope","Fruity, Woody, Musky",Kirké – Tiziana Terenzi
111,U,50ml,"Sour cherry, Bitter almond, Liquor accord","Griotte syrup, Turkish rose, Jasmine sambac","Peru balsam, Tonka bean, Sandalwood, Vetiver, Cedar","Gourmand, Amber, Fruity",Lost Cherry – Tom Ford
112,U,50ml,"Bergamot, Mandarin, Lemon, Neroli","African orange blossom, Jasmine, Lavender","Amber, Angelica, Musk","Citrus, Aromatic, Fresh",Neroli Portofino – Tom Ford
113,M,70ml,"Calabrian Lemon, Bergamot, Citron","Mate, Ginger, Nutmeg, Pink Pepper","Cedarwood, Peruvian Balsam, Leather, Ambroxan","Woody, Citrus, Aromatic",Sur la Route – Louis Vuitton
114,U,70ml,"Raspberry, Saffron","Rose, Oud, Incense","Benzoin, Amberwood, Leather","Woody, Amber, Oud",Ombre Nomade – Louis Vuitton
115,F,70ml,"Pear, Bergamot","Rose, Jasmine","White Musk, Vanilla, Patchouli","Floral, Musky, Clean",Idôle – Lancôme
116,F,70ml,"Raspberry, Mandarin","Ginger Flower, Jasmine, Gardenia","Milk Accord, Sandalwood, Cardamom, Amber, Benzoin","Floral, Oriental, Gourmand",Yes I Am – Cacharel
117,U,50ml,"Tobacco Leaf, Spices","Tonka Bean, Vanilla, Cacao, Tobacco Blossom","Dried Fruits, Woody Notes","Oriental, Vanilla, Spicy",Tobacco Vanille – Tom Ford
118,U,50ml,"Saffron, Bitter almond","Egyptian jasmine, Cedarwood","Ambergris, Fir resin, Musk","Amber, Woody, Aromatic",Baccarat Rouge 540 – Maison Francis Kurkdjian
119,F,70ml,"Blood Orange, Mandarin","Honey, Gardenia, Orange Blossom, Jasmine","Patchouli, Caramel, Beeswax","Oriental, Gourmand, Floral",Scandal – Jean Paul Gaultier
120,F,70ml,"Bergamot, Cherry, Almond","Rose, Black Tea, Liquorice","Tonka Bean, Patchouli, Vanilla, Leather","Oriental, Floral, Gourmand",La Petite Robe Noire Velours – Guerlain
121,F,70ml,"Pear, Bergamot","Tuberose, Jasmine, Orange Blossom","Patchouli, Vetiver, Vanilla, Ambroxan","Floral, Woody, Oriental",L’Interdit – Givenchy
122,F,70ml,"Lavender, Mandarin, Blackcurrant","Orange Blossom, Jasmine","Vanilla, Cedarwood, Ambergris, Musk","Floral, Oriental, Aromatic",Libre – YSL
123,F,50ml,"Osmanthus, Jasmine, Rose","Tuberose, Narcissus","Amber, Cedarwood","Floral, White Floral, Woody",Good Girl Gone Bad – Kilian
124,U,50ml,"Lemon, Bergamot, Neroli","Jasmine, Ylang-ylang, Rose","Sandalwood, Vanilla, Musk","Floral, Woody, Soft",Zeta – Morph
125,U,50ml,"Bergamot, Lemon, Mandarin, Shiso leaf","Jasmine, Lily-of-the-valley, Ylang-ylang","Musk, Amber, Cedarwood","Fresh, Citrus, Floral",Sole di Positano Acqua – Tom Ford
126,U,50ml,"Pistachio, Bergamot, Cardamom","Ylang-ylang, Jasmine, Tuberose","Coconut, Amber, Tonka bean, Benzoin","Solar, Woody, Amber",Soleil Blanc – Tom Ford
127,U,50ml,"Rosewood, Cardamom, Sichuan Pepper","Oud, Sandalwood, Vetiver","Tonka Bean, Vanilla, Amber","Woody, Oriental, Amber",Oud Wood – Tom Ford
128,U,50ml,"Saffron, Coriander, Myrrh, Rum","Coffee, Plum, Narcissus, Frangipani","Madagascar vanilla, Suede, Tobacco, Mahogany, Oakmoss","Amber, Vanilla, Oriental",Vanille Fatale – Tom Ford
129,U,50ml,"Orange, Bergamot, Lemon",Mediterranean fruits,"White musk, Madagascar vanilla, Amber","Fruity, Oriental, Musky",Erba Pura – Xerjoff
130,U,50ml,"Bergamot, Hedione, Sea notes","Calone, Seaweed, Mineral notes","Ambroxan, Cedarwood, Musk","Aquatic, Woody, Aromatic",Megamare – Orto Parisi
131,F,70ml,"Almond, Bergamot, Lemon, Coffee","Jasmine Sambac, Orange Blossom, Tuberose, Bulgarian Rose","Cacao, Tonka Bean, Vanilla, Cinnamon, Sandalwood, Amber, Patchouli, Cedarwood","Oriental, Gourmand, Floral",Good Girl – Carolina Herrera
132,F,70ml,"Orange Blossom, Bergamot","Indian Tuberose, Jasmine","Vanilla, Cedarwood, White Musk","Floral, Woody, Musky",My Way – Armani
134,U,50ml,"Peach, Blood orange, Cardamom, Heliotrope","Rum, Cognac, Jasmine, Davana","Patchouli, Tonka bean, Sandalwood, Benzoin, Amber, Labdanum","Amber, Fruity, Floral",Bitter Peach – Tom Ford
135,U,70ml,"Bergamot, Pink Pepper","Iris, Myrrh","Amber, Woody Notes, Musk","Woody, Amber",Bois d’Argent – Dior
136,M,70ml,Lavender,"Iris, Ambrette, Pear","Virginia Cedar, Vetiver","Woody, Floral, Musky",Dior Homme Intense – Dior
137,U,50ml,"Bergamot, Lemon, Lavender","Honey, Cinnamon, Cashmeran, Jasmine Sambac","Tobacco Leaf, Vanilla, Tonka Bean","Oriental, Tobacco, Spicy",Naxos Wood – Xerjoff
138,U,50ml,"Plum, Rose","Violet, Cashmere Wood, Sandalwood","Ambergris, Vanilla, Musk","Floral, Woody, Amber",Whisper – Ojar
139,U,50ml,"Rose, Black Pepper","Oud, Saffron","Ambergris, Woody Notes","Floral, Oriental, Woody",Les Sables Roses – Louis Vuitton
140,M,70ml,"Mint, Green Apple, Lemon","Tonka Bean, Ambroxan, Geranium","Vanilla, Vetiver, Oakmoss, Cedarwood","Aromatic, Fougere",Eros – Versace
141,U,50ml,"Fruity Notes, Apple, Pineapple, Peach, Coconut, Citrus, Pink Pepper, Spices","Rose, Jasmine, Iris, Violet, Saffron, Oud, Cedarwood","Ambergris, Leather, Patchouli, Sandalwood, Vanilla, Incense","Oriental, Woody, Amber",Turath – The Spirit of Dubai
142,U,70ml,Cardamom,"Leather, Jasmine Sambac","Amber, Moss, Patchouli","Leather, Amber",Ombré Leather – Tom Ford
143,U,50ml,"Coconut, Heliotrope",Madagascar Vanilla,"Palo Santo, Musk, Lactones","Gourmand, Vanilla, Woody",Vanilla Powder – Matière Première
144,U,50ml,Caramel,"Honey, Coumarin","Vanilla, White Musk","Gourmand, Vanilla",Bianco Latte – Giardini di Toscana
145,F,70ml,"Candied Citrus, Orange Blossom","Panettone Accord, Vanilla, Rum","Bourbon Vanilla, Sandalwood, Cedarwood","Gourmand, Oriental, Vanilla",Devotion – Dolce & Gabbana
146,U,50ml,"White Lily, Grapefruit, Magnolia, Osmanthus","Ylang-Ylang, Orris, Lily","Amber, Woods","Floral, Fruity, Woody",Rouge – Pierre Balmain
147,M,70ml,"Incense, Leather","Patchouli, Myrrh","Cedarwood, Davana","Woody, Leathery, Aromatic",Bottled Absolu – Hugo Boss
148,F,70ml,"Vanilla Bean, Lavender","Vanilla Caviar, Cocoa, Ginger","Vanilla Absolute, Patchouli, Amberwood","Gourmand, Vanilla, Amber",Goddess – Burberry
150,M,70ml,"Green apple, Mint, Lavender, Basil, Grapefruit","Sage, Geranium, Carnation","Fir, Cedar, Patchouli","Aromatic, Fresh, Green",Hugo – Hugo Boss
151,F,70ml,"Mandora, Pink Pepper, Bergamot","Lilac, Rose, Violet, Geranium","Patchouli, Amber","Amber, Floral",Guilty (Women) – Gucci
152,M,70ml,"Rose, Balsamic vinegar accord, Chili pepper","Orange blossom, Neroli, French lavender","Patchouli, Cedar, Sandalwood","Woody, Aromatic, Amber",Guilty Pour Homme – Gucci
153,F,70ml,"Peony, Lychee, Freesia","Rose, Lily-of-the-valley, Magnolia","Cedarwood, Amber",Floral,Chloé – Chloé
154,F,70ml,"Pink Pepper, African Orange Flower","Iris, Lilac, Hyacinth, Heliotrope, Wisteria","Powdery Notes, Rice, Musk","Floral, Woody, Musky","Love, Chloé – Chloé"
155,U,70ml,"Bergamot, Lemon, Pineapple, Mandarin, Cardamom, Papaya","Jasmine, Lily-of-the-valley, Violet, Orris root, Nutmeg, Rose","Green tea, Musk, Amber, Oakmoss, Cedar, Sandalwood","Citrus, Fresh, Aromatic",CK One – Calvin Klein
156,F,70ml,"Grass, Boysenberry, Mandarin Orange","Jasmine, Plum, Black Tea","Cedarwood, Sandalwood, Amber","Fruity, Floral",Hugo (Women) – Hugo Boss
157,M,70ml,"Ginger, Bergamot, Mandarin","Maninka fruit, Lavender","Leather, Woods","Woody, Aromatic, Oriental",The Scent – Hugo Boss
158,F,70ml,"Citrus Notes, Peony, Mandarin Orange","Osmanthus, Rose","Patchouli, Sandalwood",Floral,Flora – Gucci
159,F,70ml,"Peach, Apricot, Blackcurrant, Green Apple, Pear","Jasmine, Sandalwood, Cedarwood, Moss","Musk, Vanilla","Fruity, Floral, Woody",Burberry Women – Burberry
160,M,70ml,"Mint, Thyme, Lavender, Bergamot","Sandalwood, Oakmoss, Cedar, Geranium","Amber, Musk, Vanilla","Woody, Aromatic, Fresh",Burberry Men – Burberry
161,F,70ml,"Bergamot, Blackcurrant","Jasmine Absolute, Jasmine Tea","Vanilla Bourbon, Benzoin, Amber","Amber, Floral, Vanilla",Born in Roma Intense (For Her) – Valentino

162,M,70ml,"Vanilla, Vanilla orchid","Vetiver, Sage","Benzoin, Amber, Woods","Amber, Vanilla, Woody",Born in Roma Intense – Valentino
